OSEBuildingID,PrimaryPropertyType,PropertyName,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance_from_City_Hall,proportion_elec,ln_consommation,ln_emissions,education,leisure,lodging,mall,medical,non refrigerated warehouse,office,other,refrigerated warehouse,restauration,services,store
19743,office,THE MILLIONAIR CLUB,7,1917.0,1.0,2.0,0.0,21600.0,,1636649.125,29.62,1.894906917918627,0.87,14.308162104126875,3.4216533902295376,0.0,0.0,7200.0,0.0,0.0,0.0,14400.0,0.0,0.0,0.0,0.0,0.0
19747,office,First and Cedar Building,7,1974.0,1.0,5.0,13320.0,48505.0,59.0,4322873.0,141.2,2.0822071419438704,0.37,15.279431016798911,4.95723451736914,0.0,0.0,0.0,0.0,0.0,0.0,41540.0,0.0,0.0,0.0,0.0,0.0
19750,office,Seattle Labor Temple Association,7,1942.0,1.0,3.0,0.0,64630.0,96.0,1408291.375,9.82,2.185171958201727,0.87,14.15788844684215,2.381396273418336,0.0,0.0,0.0,0.0,0.0,0.0,64630.0,0.0,0.0,0.0,0.0,0.0
19752,other,Belltown,7,1948.0,1.0,2.0,0.0,20920.0,15.0,1042108.5,42.19,2.1045070445309517,0.37,13.856757582146624,3.7656089869726097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20920.0,0.0,0.0,0.0,0.0
19766,other,(ID19766) ALKI CONGREGATIONAL CHURCH,1,1926.0,1.0,2.0,0.0,22128.0,94.0,608359.6875,25.24,6.990300263609484,0.37,13.318523221073114,3.267284964075888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22128.0,0.0,0.0,0.0,0.0
19774,store,Office Depot,5,1968.0,1.0,1.0,0.0,48139.0,98.0,859236.625,24.02,13.787372503825807,0.62,13.66380079251352,3.219675505038765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0
19787,other,First Lutheran Church of West Seattle,1,1949.0,1.0,2.0,0.0,21364.0,86.0,965651.125,43.8,5.990688590086998,0.12,13.7805589292886,3.80220813942094,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,15364.0,0.0,0.0,0.0,0.0
19833,education,Centennial Building,7,1992.0,1.0,2.0,0.0,28923.0,,439311.9063,15.27,1.5560335083671473,0.37,12.99296720877201,2.7893229212309465,28800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19836,education,Notion,7,1928.0,1.0,3.0,0.0,21600.0,,323739.4063,6.33,1.62333919298959,0.62,12.687697258506624,1.99197551589856,21600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19845,store,000956-Seattle,4,1996.0,1.0,1.0,0.0,25735.0,82.0,1169394.875,18.1,7.135248802754547,0.87,13.971997827267511,2.9496883350525844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25691.0
19847,store,EAST BLDG N,4,1956.0,1.0,2.0,0.0,25862.0,20.0,4801472.0,154.17,6.918822637822278,0.37,15.384433303801618,5.044521290095393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,25562.0
19848,store,EAST BLDG S,4,2003.0,1.0,2.0,0.0,49965.0,82.0,3377209.75,29.54,6.918822637822278,0.87,15.032560704882684,3.4190372997904865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,47465.0
